"metric_scope","method","k","pass_count","total","pass_rate","data_mode"
"draft","retrieval_fixture_v1","1","18","18","1","retrieval_proxy_only"
"draft","retrieval_fixture_v1","3","18","18","1","retrieval_proxy_only"
"draft","retrieval_fixture_v1","5","18","18","1","retrieval_proxy_only"
